state,district,month,total_enrol,total_demo_updates,total_bio_updates,total_updates,service_ratio
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,6.0,25.0,84.0,109.0,15.571428571428571
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,4.0,35.0,85.0,120.0,24.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,3.0,43.0,118.0,161.0,40.25
Andaman And Nicobar Islands,North And Middle Andaman,NaT,81.0,471.0,1067.0,1538.0,18.75609756097561
Andaman And Nicobar Islands,South Andaman,2025-01,8.0,607.0,6296.0,6903.0,767.0
Andaman And Nicobar Islands,South Andaman,2025-02,2.0,83.0,219.0,302.0,100.66666666666669
Andaman And Nicobar Islands,South Andaman,2025-03,4.0,138.0,165.0,303.0,60.6
Andaman And Nicobar Islands,South Andaman,2025-04,5.0,92.0,154.0,246.0,41.0
Andaman And Nicobar Islands,South Andaman,2025-05,6.0,78.0,165.0,243.0,34.714285714285715
Andaman And Nicobar Islands,South Andaman,2025-06,0.0,56.0,135.0,191.0,191.0
Andaman And Nicobar Islands,South Andaman,2025-07,3.0,69.0,65.0,134.0,33.5
Andaman And Nicobar Islands,South Andaman,2025-08,12.0,51.0,186.0,237.0,18.23076923076923
Andaman And Nicobar Islands,South Andaman,2025-09,3.0,100.0,223.0,323.0,80.75
Andaman And Nicobar Islands,South Andaman,2025-10,5.0,78.0,161.0,239.0,39.833333333333336
Andaman And Nicobar Islands,South Andaman,2025-11,5.0,108.0,185.0,293.0,48.833333333333336
Andaman And Nicobar Islands,South Andaman,2025-12,3.0,89.0,168.0,257.0,64.25
Andaman And Nicobar Islands,South Andaman,NaT,131.0,1089.0,1724.0,2813.0,21.310606060606062
Andhra Pradesh,Adilabad,2025-01,50.0,4731.0,26157.0,30888.0,605.6470588235294
Andhra Pradesh,Adilabad,2025-02,90.0,759.0,1156.0,1915.0,21.043956043956044
Andhra Pradesh,Adilabad,2025-03,56.0,1018.0,959.0,1977.0,34.68421052631579
Andhra Pradesh,Adilabad,2025-04,33.0,1213.0,1353.0,2566.0,75.47058823529412
Andhra Pradesh,Adilabad,2025-05,33.0,493.0,629.0,1122.0,33.0
Andhra Pradesh,Adilabad,2025-06,43.0,516.0,908.0,1424.0,32.36363636363637
Andhra Pradesh,Adilabad,2025-07,17.0,440.0,402.0,842.0,46.77777777777778
Andhra Pradesh,Adilabad,2025-08,70.0,486.0,1103.0,1589.0,22.380281690140844
Andhra Pradesh,Adilabad,2025-09,42.0,559.0,862.0,1421.0,33.04651162790697
Andhra Pradesh,Adilabad,2025-10,56.0,524.0,846.0,1370.0,24.035087719298247
Andhra Pradesh,Adilabad,2025-11,41.0,628.0,868.0,1496.0,35.61904761904762
Andhra Pradesh,Adilabad,2025-12,42.0,786.0,1254.0,2040.0,47.44186046511628
Andhra Pradesh,Adilabad,NaT,822.0,10259.0,13756.0,24015.0,29.179829890643987
Andhra Pradesh,Alluri Sitharama Raju,2025-01,15.0,4418.0,11152.0,15570.0,973.125
Andhra Pradesh,Alluri Sitharama Raju,2025-02,32.0,226.0,358.0,584.0,17.696969696969695
Andhra Pradesh,Alluri Sitharama Raju,2025-03,28.0,291.0,221.0,512.0,17.655172413793103
Andhra Pradesh,Alluri Sitharama Raju,2025-04,11.0,127.0,414.0,541.0,45.083333333333336
Andhra Pradesh,Alluri Sitharama Raju,2025-05,47.0,216.0,277.0,493.0,10.270833333333334
Andhra Pradesh,Alluri Sitharama Raju,2025-06,28.0,235.0,239.0,474.0,16.344827586206897
Andhra Pradesh,Alluri Sitharama Raju,2025-07,29.0,198.0,143.0,341.0,11.366666666666667
Andhra Pradesh,Alluri Sitharama Raju,2025-08,32.0,213.0,280.0,493.0,14.93939393939394
Andhra Pradesh,Alluri Sitharama Raju,2025-09,26.0,213.0,244.0,457.0,16.925925925925927
Andhra Pradesh,Alluri Sitharama Raju,2025-10,37.0,121.0,234.0,355.0,9.342105263157896
Andhra Pradesh,Alluri Sitharama Raju,2025-11,33.0,221.0,231.0,452.0,13.294117647058824
Andhra Pradesh,Alluri Sitharama Raju,2025-12,37.0,222.0,283.0,505.0,13.289473684210526
Andhra Pradesh,Alluri Sitharama Raju,NaT,859.0,3257.0,3994.0,7251.0,8.43139534883721
Andhra Pradesh,Anakapalli,2025-01,13.0,3209.0,4069.0,7278.0,519.8571428571429
Andhra Pradesh,Anakapalli,2025-02,16.0,276.0,72.0,348.0,20.47058823529412
Andhra Pradesh,Anakapalli,2025-03,16.0,303.0,73.0,376.0,22.11764705882353
Andhra Pradesh,Anakapalli,2025-04,8.0,185.0,117.0,302.0,33.55555555555556
Andhra Pradesh,Anakapalli,2025-05,6.0,280.0,60.0,340.0,48.57142857142857
Andhra Pradesh,Anakapalli,2025-06,14.0,286.0,127.0,413.0,27.53333333333333
Andhra Pradesh,Anakapalli,2025-07,5.0,294.0,32.0,326.0,54.333333333333336
Andhra Pradesh,Anakapalli,2025-08,12.0,166.0,105.0,271.0,20.846153846153847
Andhra Pradesh,Anakapalli,2025-09,16.0,243.0,80.0,323.0,19.0
Andhra Pradesh,Anakapalli,2025-10,14.0,134.0,68.0,202.0,13.466666666666669
Andhra Pradesh,Anakapalli,2025-11,11.0,278.0,77.0,355.0,29.58333333333333
Andhra Pradesh,Anakapalli,2025-12,8.0,232.0,91.0,323.0,35.888888888888886
Andhra Pradesh,Anakapalli,NaT,385.0,3698.0,1533.0,5231.0,13.55181347150259
Andhra Pradesh,Anantapur,2025-01,104.0,16025.0,54481.0,70506.0,671.4857142857143
Andhra Pradesh,Anantapur,2025-02,192.0,1345.0,1467.0,2812.0,14.569948186528498
Andhra Pradesh,Anantapur,2025-03,132.0,1745.0,1353.0,3098.0,23.293233082706767
Andhra Pradesh,Anantapur,2025-04,62.0,1388.0,2108.0,3496.0,55.49206349206349
Andhra Pradesh,Anantapur,2025-05,109.0,1113.0,1316.0,2429.0,22.081818181818186
Andhra Pradesh,Anantapur,2025-06,132.0,1088.0,1640.0,2728.0,20.51127819548872
Andhra Pradesh,Anantapur,2025-07,72.0,940.0,707.0,1647.0,22.56164383561644
Andhra Pradesh,Anantapur,2025-08,135.0,942.0,1351.0,2293.0,16.860294117647058
Andhra Pradesh,Anantapur,2025-09,101.0,1055.0,1152.0,2207.0,21.637254901960784
Andhra Pradesh,Anantapur,2025-10,96.0,888.0,1227.0,2115.0,21.804123711340207
Andhra Pradesh,Anantapur,2025-11,114.0,1419.0,1151.0,2570.0,22.347826086956523
Andhra Pradesh,Anantapur,2025-12,115.0,1556.0,1580.0,3136.0,27.03448275862069
Andhra Pradesh,Anantapur,NaT,2947.0,19984.0,20964.0,40948.0,13.890094979647218
Andhra Pradesh,Ananthapur,2025-01,36.0,7635.0,61739.0,69374.0,1874.972972972973
Andhra Pradesh,Ananthapur,2025-02,66.0,644.0,791.0,1435.0,21.417910447761194
Andhra Pradesh,Ananthapur,2025-03,39.0,729.0,777.0,1506.0,37.65
Andhra Pradesh,Ananthapur,2025-04,20.0,623.0,1081.0,1704.0,81.14285714285714
Andhra Pradesh,Ananthapur,2025-05,46.0,446.0,662.0,1108.0,23.574468085106385
Andhra Pradesh,Ananthapur,2025-06,55.0,481.0,878.0,1359.0,24.267857142857142
Andhra Pradesh,Ananthapur,2025-07,28.0,473.0,390.0,863.0,29.75862068965517
Andhra Pradesh,Ananthapur,2025-08,51.0,433.0,671.0,1104.0,21.23076923076923
Andhra Pradesh,Ananthapur,2025-09,50.0,461.0,660.0,1121.0,21.980392156862745
Andhra Pradesh,Ananthapur,2025-10,42.0,348.0,651.0,999.0,23.232558139534884
Andhra Pradesh,Ananthapur,2025-11,38.0,639.0,704.0,1343.0,34.43589743589744
Andhra Pradesh,Ananthapur,2025-12,54.0,534.0,752.0,1286.0,23.381818181818183
Andhra Pradesh,Ananthapur,NaT,1412.0,8567.0,12413.0,20980.0,14.847841472045294
Andhra Pradesh,Ananthapuramu,2025-01,57.0,20492.0,83413.0,103905.0,1791.4655172413793
Andhra Pradesh,Ananthapuramu,2025-02,110.0,688.0,969.0,1657.0,14.927927927927929
Andhra Pradesh,Ananthapuramu,2025-03,96.0,852.0,797.0,1649.0,17.0
Andhra Pradesh,Ananthapuramu,2025-04,48.0,566.0,1263.0,1829.0,37.326530612244895
Andhra Pradesh,Ananthapuramu,2025-05,81.0,599.0,646.0,1245.0,15.182926829268292
Andhra Pradesh,Ananthapuramu,2025-06,72.0,651.0,983.0,1634.0,22.383561643835616
Andhra Pradesh,Ananthapuramu,2025-07,40.0,683.0,398.0,1081.0,26.365853658536587
Andhra Pradesh,Ananthapuramu,2025-08,89.0,519.0,713.0,1232.0,13.688888888888888
Andhra Pradesh,Ananthapuramu,2025-09,57.0,606.0,695.0,1301.0,22.43103448275862
Andhra Pradesh,Ananthapuramu,2025-10,73.0,421.0,787.0,1208.0,16.324324324324323
Andhra Pradesh,Ananthapuramu,2025-11,57.0,723.0,726.0,1449.0,24.98275862068965
Andhra Pradesh,Ananthapuramu,2025-12,77.0,709.0,917.0,1626.0,20.846153846153847
Andhra Pradesh,Ananthapuramu,NaT,2237.0,10128.0,15003.0,25131.0,11.22922252010724
Andhra Pradesh,Annamayya,2025-01,12.0,14415.0,5952.0,20367.0,1566.6923076923076
Andhra Pradesh,Annamayya,2025-02,47.0,426.0,134.0,560.0,11.666666666666666
Andhra Pradesh,Annamayya,2025-03,17.0,440.0,96.0,536.0,29.77777777777778
Andhra Pradesh,Annamayya,2025-04,22.0,342.0,172.0,514.0,22.347826086956523
Andhra Pradesh,Annamayya,2025-05,41.0,351.0,117.0,468.0,11.142857142857142
Andhra Pradesh,Annamayya,2025-06,21.0,492.0,142.0,634.0,28.818181818181817
Andhra Pradesh,Annamayya,2025-07,12.0,344.0,46.0,390.0,30.0
Andhra Pradesh,Annamayya,2025-08,27.0,298.0,127.0,425.0,15.178571428571429
Andhra Pradesh,Annamayya,2025-09,29.0,345.0,107.0,452.0,15.066666666666666
Andhra Pradesh,Annamayya,2025-10,34.0,204.0,112.0,316.0,9.028571428571428
Andhra Pradesh,Annamayya,2025-11,20.0,392.0,128.0,520.0,24.761904761904763
Andhra Pradesh,Annamayya,2025-12,30.0,351.0,127.0,478.0,15.419354838709678
Andhra Pradesh,Annamayya,NaT,683.0,5323.0,2106.0,7429.0,10.86111111111111
Andhra Pradesh,Bapatla,2025-01,10.0,3974.0,3161.0,7135.0,648.6363636363636
Andhra Pradesh,Bapatla,2025-02,19.0,239.0,122.0,361.0,18.05
Andhra Pradesh,Bapatla,2025-03,12.0,247.0,90.0,337.0,25.923076923076923
Andhra Pradesh,Bapatla,2025-04,4.0,182.0,170.0,352.0,70.4
Andhra Pradesh,Bapatla,2025-05,14.0,269.0,105.0,374.0,24.933333333333334
Andhra Pradesh,Bapatla,2025-06,9.0,279.0,106.0,385.0,38.5
Andhra Pradesh,Bapatla,2025-07,8.0,206.0,59.0,265.0,29.444444444444443
Andhra Pradesh,Bapatla,2025-08,12.0,179.0,73.0,252.0,19.384615384615383
Andhra Pradesh,Bapatla,2025-09,17.0,224.0,72.0,296.0,16.444444444444443
Andhra Pradesh,Bapatla,2025-10,14.0,110.0,76.0,186.0,12.4
Andhra Pradesh,Bapatla,2025-11,14.0,281.0,91.0,372.0,24.8
Andhra Pradesh,Bapatla,2025-12,7.0,268.0,114.0,382.0,47.75
Andhra Pradesh,Bapatla,NaT,342.0,3033.0,1519.0,4552.0,13.271137026239067
Andhra Pradesh,Chittoor,2025-01,163.0,58011.0,162846.0,220857.0,1346.689024390244
Andhra Pradesh,Chittoor,2025-02,338.0,2938.0,2890.0,5828.0,17.19174041297935
Andhra Pradesh,Chittoor,2025-03,223.0,3255.0,2972.0,6227.0,27.799107142857142
Andhra Pradesh,Chittoor,2025-04,111.0,2493.0,5424.0,7917.0,70.6875
Andhra Pradesh,Chittoor,2025-05,227.0,2028.0,3544.0,5572.0,24.43859649122807
Andhra Pradesh,Chittoor,2025-06,206.0,2406.0,3851.0,6257.0,30.22705314009662
Andhra Pradesh,Chittoor,2025-07,74.0,1800.0,1918.0,3718.0,49.57333333333333
Andhra Pradesh,Chittoor,2025-08,254.0,1741.0,2778.0,4519.0,17.72156862745098
Andhra Pradesh,Chittoor,2025-09,196.0,2291.0,2342.0,4633.0,23.517766497461928
Andhra Pradesh,Chittoor,2025-10,267.0,1560.0,2453.0,4013.0,14.973880597014926
Andhra Pradesh,Chittoor,2025-11,207.0,2699.0,2452.0,5151.0,24.76442307692308
Andhra Pradesh,Chittoor,2025-12,200.0,2761.0,3393.0,6154.0,30.61691542288557
Andhra Pradesh,Chittoor,NaT,5481.0,34223.0,48290.0,82513.0,15.05162349507479
Andhra Pradesh,Cuddapah,2025-01,135.0,20255.0,110947.0,131202.0,964.720588235294
Andhra Pradesh,Cuddapah,2025-02,276.0,1759.0,2432.0,4191.0,15.129963898916968
Andhra Pradesh,Cuddapah,2025-03,147.0,1866.0,2100.0,3966.0,26.7972972972973
Andhra Pradesh,Cuddapah,2025-04,90.0,1577.0,2781.0,4358.0,47.89010989010989
Andhra Pradesh,Cuddapah,2025-05,168.0,1105.0,1951.0,3056.0,18.08284023668639
Andhra Pradesh,Cuddapah,2025-06,178.0,1548.0,2021.0,3569.0,19.93854748603352
Andhra Pradesh,Cuddapah,2025-07,64.0,1173.0,930.0,2103.0,32.35384615384616
Andhra Pradesh,Cuddapah,2025-08,179.0,1435.0,1837.0,3272.0,18.177777777777777
Andhra Pradesh,Cuddapah,2025-09,153.0,1211.0,1682.0,2893.0,18.785714285714285
Andhra Pradesh,Cuddapah,2025-10,175.0,1244.0,1585.0,2829.0,16.073863636363637
Andhra Pradesh,Cuddapah,2025-11,127.0,1791.0,2050.0,3841.0,30.0078125
Andhra Pradesh,Cuddapah,2025-12,116.0,1772.0,2186.0,3958.0,33.82905982905983
Andhra Pradesh,Cuddapah,NaT,3954.0,24902.0,32708.0,57610.0,14.56637168141593
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,12.0,3310.0,3731.0,7041.0,541.6153846153846
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,28.0,326.0,121.0,447.0,15.413793103448276
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,18.0,337.0,112.0,449.0,23.63157894736842
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,4.0,215.0,163.0,378.0,75.6
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,16.0,217.0,101.0,318.0,18.705882352941178
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,18.0,229.0,120.0,349.0,18.36842105263158
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,9.0,310.0,49.0,359.0,35.9
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,22.0,199.0,94.0,293.0,12.73913043478261
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,22.0,280.0,94.0,374.0,16.26086956521739
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,24.0,137.0,83.0,220.0,8.8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,14.0,322.0,114.0,436.0,29.066666666666663
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,20.0,271.0,133.0,404.0,19.23809523809524
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,444.0,4132.0,2049.0,6181.0,13.889887640449436
Andhra Pradesh,East Godavari,2025-01,171.0,44883.0,194787.0,239670.0,1393.4302325581396
Andhra Pradesh,East Godavari,2025-02,351.0,2667.0,3452.0,6119.0,17.383522727272727
Andhra Pradesh,East Godavari,2025-03,176.0,3210.0,3259.0,6469.0,36.548022598870055
Andhra Pradesh,East Godavari,2025-04,115.0,2481.0,4900.0,7381.0,63.62931034482759
Andhra Pradesh,East Godavari,2025-05,239.0,1499.0,3324.0,4823.0,20.09583333333333
Andhra Pradesh,East Godavari,2025-06,197.0,2380.0,3645.0,6025.0,30.42929292929293
Andhra Pradesh,East Godavari,2025-07,79.0,1928.0,2031.0,3959.0,49.4875
Andhra Pradesh,East Godavari,2025-08,242.0,1977.0,3140.0,5117.0,21.05761316872428
Andhra Pradesh,East Godavari,2025-09,226.0,2454.0,2747.0,5201.0,22.911894273127757
Andhra Pradesh,East Godavari,2025-10,258.0,1968.0,2826.0,4794.0,18.50965250965251
Andhra Pradesh,East Godavari,2025-11,180.0,2844.0,3359.0,6203.0,34.2707182320442
Andhra Pradesh,East Godavari,2025-12,181.0,2915.0,4101.0,7016.0,38.54945054945055
Andhra Pradesh,East Godavari,NaT,5089.0,38086.0,60609.0,98695.0,19.389980353634577
Andhra Pradesh,Eluru,2025-01,6.0,3919.0,5236.0,9155.0,1307.857142857143
Andhra Pradesh,Eluru,2025-02,28.0,427.0,102.0,529.0,18.24137931034483
Andhra Pradesh,Eluru,2025-03,13.0,421.0,133.0,554.0,39.57142857142857
Andhra Pradesh,Eluru,2025-04,9.0,228.0,162.0,390.0,39.0
Andhra Pradesh,Eluru,2025-05,11.0,259.0,89.0,348.0,29.0
Andhra Pradesh,Eluru,2025-06,23.0,353.0,108.0,461.0,19.20833333333333
Andhra Pradesh,Eluru,2025-07,11.0,452.0,48.0,500.0,41.66666666666666
Andhra Pradesh,Eluru,2025-08,16.0,278.0,95.0,373.0,21.94117647058824
Andhra Pradesh,Eluru,2025-09,18.0,374.0,114.0,488.0,25.68421052631579
Andhra Pradesh,Eluru,2025-10,28.0,155.0,95.0,250.0,8.620689655172415
Andhra Pradesh,Eluru,2025-11,25.0,349.0,123.0,472.0,18.153846153846157
Andhra Pradesh,Eluru,2025-12,12.0,382.0,112.0,494.0,38.0
Andhra Pradesh,Eluru,NaT,408.0,5431.0,1596.0,7027.0,17.18092909535452
Andhra Pradesh,Guntur,2025-01,187.0,59505.0,195052.0,254557.0,1354.026595744681
Andhra Pradesh,Guntur,2025-02,386.0,2680.0,3578.0,6258.0,16.170542635658915
Andhra Pradesh,Guntur,2025-03,192.0,3163.0,3367.0,6530.0,33.83419689119171
Andhra Pradesh,Guntur,2025-04,122.0,2529.0,4719.0,7248.0,58.926829268292686
Andhra Pradesh,Guntur,2025-05,272.0,1775.0,3082.0,4857.0,17.791208791208792
Andhra Pradesh,Guntur,2025-06,255.0,2552.0,3602.0,6154.0,24.0390625
Andhra Pradesh,Guntur,2025-07,128.0,2113.0,1822.0,3935.0,30.503875968992247
Andhra Pradesh,Guntur,2025-08,288.0,1718.0,3191.0,4909.0,16.986159169550174
Andhra Pradesh,Guntur,2025-09,198.0,2264.0,2851.0,5115.0,25.7035175879397
Andhra Pradesh,Guntur,2025-10,314.0,1844.0,3178.0,5022.0,15.942857142857145
Andhra Pradesh,Guntur,2025-11,208.0,2830.0,3318.0,6148.0,29.416267942583733
Andhra Pradesh,Guntur,2025-12,220.0,2701.0,4196.0,6897.0,31.20814479638009
Andhra Pradesh,Guntur,NaT,6710.0,38651.0,51834.0,90485.0,13.483087468335569
Andhra Pradesh,Hyderabad,2025-01,139.0,6117.0,62988.0,69105.0,493.6071428571428
Andhra Pradesh,Hyderabad,2025-02,230.0,1019.0,1699.0,2718.0,11.766233766233766
Andhra Pradesh,Hyderabad,2025-03,128.0,1205.0,1678.0,2883.0,22.348837209302324
Andhra Pradesh,Hyderabad,2025-04,86.0,999.0,2332.0,3331.0,38.28735632183908
Andhra Pradesh,Hyderabad,2025-05,76.0,410.0,952.0,1362.0,17.68831168831169
Andhra Pradesh,Hyderabad,2025-06,65.0,500.0,1329.0,1829.0,27.71212121212121
Andhra Pradesh,Hyderabad,2025-07,67.0,661.0,706.0,1367.0,20.102941176470587
Andhra Pradesh,Hyderabad,2025-08,146.0,556.0,1757.0,2313.0,15.73469387755102
Andhra Pradesh,Hyderabad,2025-09,148.0,775.0,1624.0,2399.0,16.100671140939596
Andhra Pradesh,Hyderabad,2025-10,162.0,658.0,1493.0,2151.0,13.196319018404909
Andhra Pradesh,Hyderabad,2025-11,157.0,981.0,1973.0,2954.0,18.696202531645568
Andhra Pradesh,Hyderabad,2025-12,120.0,825.0,2045.0,2870.0,23.71900826446281
Andhra Pradesh,Hyderabad,NaT,3184.0,11972.0,21893.0,33865.0,10.63265306122449
Andhra Pradesh,K.V. Rangareddy,2025-01,1.0,5.0,65.0,70.0,35.0
Andhra Pradesh,K.V. Rangareddy,2025-02,0.0,11.0,16.0,27.0,27.0
Andhra Pradesh,K.V. Rangareddy,2025-03,0.0,8.0,10.0,18.0,18.0
Andhra Pradesh,K.V. Rangareddy,2025-04,1.0,5.0,26.0,31.0,15.5
Andhra Pradesh,K.V. Rangareddy,2025-05,0.0,2.0,5.0,7.0,7.0
Andhra Pradesh,K.V. Rangareddy,2025-06,0.0,4.0,8.0,12.0,12.0
Andhra Pradesh,K.V. Rangareddy,2025-07,1.0,4.0,4.0,8.0,4.0
Andhra Pradesh,K.V. Rangareddy,2025-08,0.0,3.0,10.0,13.0,13.0
Andhra Pradesh,K.V. Rangareddy,2025-09,0.0,5.0,8.0,13.0,13.0
Andhra Pradesh,K.V. Rangareddy,2025-10,0.0,7.0,6.0,13.0,13.0
Andhra Pradesh,K.V. Rangareddy,2025-11,0.0,3.0,7.0,10.0,10.0
Andhra Pradesh,K.V. Rangareddy,2025-12,0.0,3.0,22.0,25.0,25.0
Andhra Pradesh,K.V. Rangareddy,NaT,13.0,58.0,195.0,253.0,18.071428571428573
Andhra Pradesh,K.V.Rangareddy,2025-01,2.0,28.0,42.0,70.0,23.33333333333333
Andhra Pradesh,K.V.Rangareddy,2025-02,2.0,15.0,31.0,46.0,15.333333333333334
Andhra Pradesh,K.V.Rangareddy,2025-03,1.0,15.0,28.0,43.0,21.5
Andhra Pradesh,K.V.Rangareddy,2025-04,1.0,21.0,33.0,54.0,27.0
Andhra Pradesh,K.V.Rangareddy,2025-05,5.0,7.0,8.0,15.0,2.5
Andhra Pradesh,K.V.Rangareddy,2025-06,2.0,6.0,19.0,25.0,8.333333333333334
Andhra Pradesh,K.V.Rangareddy,2025-07,1.0,9.0,15.0,24.0,12.0
Andhra Pradesh,K.V.Rangareddy,2025-08,4.0,10.0,19.0,29.0,5.8
Andhra Pradesh,K.V.Rangareddy,2025-09,2.0,8.0,24.0,32.0,10.666666666666666
Andhra Pradesh,K.V.Rangareddy,2025-10,1.0,12.0,20.0,32.0,16.0
Andhra Pradesh,K.V.Rangareddy,2025-11,1.0,15.0,31.0,46.0,23.0
Andhra Pradesh,K.V.Rangareddy,2025-12,3.0,18.0,37.0,55.0,13.75
Andhra Pradesh,K.V.Rangareddy,NaT,42.0,228.0,393.0,621.0,14.44186046511628
Andhra Pradesh,Kakinada,2025-01,20.0,9880.0,7003.0,16883.0,803.952380952381
Andhra Pradesh,Kakinada,2025-02,34.0,449.0,149.0,598.0,17.085714285714285
